Building Address,OPA Number,OPA Square Footage
1 WASHINGTON AVE,781421800,52032
100 SOUTH BROAD ST,883336000,484528
1001 E ONTARIO ST,884107401,145155
101 E LUZERNE ST,884051000,114904
101-31 E VENANGO ST,884047200,95580
1020-24 MARKET ST,882507800,52385
1025 CALLOWHILL ST,882249900,60000
1027 FILBERT ST,883430501,287000
10300 DRUMMOND RD,884283400,164880
10551 DECATUR RD,884278500,136886
1101 S CHRIS COLUMBUS BLV,781053210,58214
11026 KNIGHTS RD,778202000,59769
1102-96 E TULPEHOCKEN ST,784453600,108706
111-23 N 15TH ST,881038000,184660
11200 E ROOSEVELT BLV,884241004,420000
1122 CHESTNUT ST,882495501,120350
1136-48 N AMERICAN ST,884457300,70376
114-22 S 15TH ST,883425500,61208
114-24 S FRONT ST,781131450,189272
11601 CAROLINE RD,884271000,60519
1210 CHESTNUT ST,871008150,55655
1225-33 LOCUST ST,883022410,60000
1327 LOCUST ST,883402500,121408
1328-34 UNITY ST,884641402,73091
1338-48 CHESTNUT ST,881302100,314000
13410 DAMAR DR,884244400,66600
137 S 58TH ST,774713050,54240
1400 E PASSYUNK AVE,882080101,53915
1400 N AMERICAN ST,884588700,84959
1400-38 N HOWARD ST,884588223,77794
1401-49 N BROAD ST,777692500,66674
1422-30 N 08TH ST,884344185,71330
1464-88 N 53RD ST,783736600,129600
148-54 E MOUNT AIRY AVE,775244000,52004
1501 S 17TH ST,782697400,71928
1501-35 N BROAD ST,882116000,95450
1518-20 LOCUST ST,883047000,56712
1541-59 N 61ST ST,774466695,194605
1600 VINE ST,883065200,244000
1600 W HUNTING PARK AVE,884042395,72340
1600 WARFIELD ST,884124500,64555
1600-06 S 21ST ST,773231000,152000
1605-27 SANSOM ST,881547010,88978
1608-34 SANSOM ST,883423000,68960
1612-44 VANDIKE ST,884639205,64751
1620 S 49TH ST,884217100,67485
170 N INDEPENDENCE W ML,771738600,63402
1701 W LEHIGH AVE,883361600,53901
1701-33 W GIRARD AVE,772510500,500875
1750 KITTY HAWK AVE,788007101,380086
1815-25 ARCH ST,883411000,210000
1821-45 E HAGERT ST,884714800,55500
18-28 S 07TH ST,771752000,75614
1835-69 N 54TH ST,783744200,70884
1850 E SEDGLEY AVE,884844700,54916
1900-40 BYBERRY RD,786057301,250000
1901 W CLEARFIELD ST,884556800,57112
1910 S CHRIS COLUMBUS BLV,884139010,241323
1950 W ROCKLAND ST,884074300,52950
20 N FRONT ST,881003335,58000
200 PATTISON AVE,884143300,312400
2000-30 S 71ST ST,884164610,69479
2027-39 SANSOM ST,883422500,64768
21 WOLF ST,884780821,115374
2100-06 CHESTNUT ST,883429000,64395
2101-07 WALNUT ST,881026500,305280
2114-40 ARCH ST,772497995,115219
2121 WHEATSHEAF LA,884204002,297140
2121-41 MARKET ST,881035600,168365
2135 E WESTMORELAND ST,884201500,101252
217-31 W LEHIGH AVE,882865900,50710
219-25 S BROAD ST,883404000,115830
220-24 S BROAD ST,883427500,197512
221 W GLENWOOD AVE,884344110,79064
2214 W ONTARIO ST,776341855,68890
2221-25 N BROAD ST,883360000,52850
2230 CASTOR AVE,884192000,83437
2300-36 W LEHIGH AVE,776185800,101388
23-31 N JUNIPER ST,883704700,424992
2400 CHRISTIAN ST,782094400,51464
2410-50 E YORK ST,884104675,79464
2414 WECCACOE AVE,884138714,227700
2427-35 W YORK ST,884691100,64455
2429-39 WHARTON ST,884465225,67026
246-72 W BERKS ST,884080100,64890
2501-37 CHURCH ST,884088000,108632
2601 S 58TH ST,783775001,60480
2601-31 N 28TH ST,784621800,72402
2750 N BROAD ST,884341730,89987
2801 GRANT AVE,884286500,61240
2814-28 N 12TH ST,785631800,73952
2821R FOX ST,884133421,527603
2831 FOX ST,884133431,150686
2901 W ALLEGHENY AVE,775069000,61320
2929-59 B ST,884037700,68846
300 E GODFREY AVE,884116095,257211
3001 N 20TH ST,884557990,223919
300-32 E ALLEGHENY AVE,884037500,384508
3101-27 W GLENWOOD AVE,884699300,119700
3120 S 70TH ST,783800500,96083
3200 HENRY AVE,775010510,120739
3201 FOX ST,884461915,224848
3227-59 B ST,884525500,57417
33 N BROAD ST,771032200,183750
330 OREGON AVE,882087505,272918
3300-30 N 09TH ST,884188402,196834
3301-11 STOKLEY ST,884558200,57196
3308 N 06TH ST,884126550,69895
3310 W LEHIGH AVE,884345875,56663
3415-19 N 02ND ST,777368000,103650
3502-08 SCOTTS LA,881137100,95287
3506-34 F ST,884351775,67200
3528-78 I ST,882119500,60450
3600 G ST,884045405,56125
3600 N BROAD ST,776070000,50000
3625 B ST,884043002,189226
3701 CIVIC CENTER BLV,881449700,114000
3701 SEPVIVA ST,884201350,62132
3721-51 RIDGE AVE,884133900,91736
3775 KENSINGTON AVE,884847300,107140
3801-15 MARKET ST,883805600,104000
39 WOLF ST,884347930,54075
3901-61 N 18TH ST,785694200,447188
3930-40 CONSHOHOCKEN AVE,774128800,85440
3955-69 CONSHOHOCKEN AVE,774015001,289450
400-26 S BROAD ST,888088402,66000
400-34 CHESTNUT ST,781050400,70560
401-11 E ALLEGHENY AVE,884526100,76560
4018 GERMANTOWN AVE,776150010,72000
4025-69 WESTMINSTER AVE,774326000,78336
4080 FRANKFORD AVE,884640800,54250
4101 N AMERICAN ST,777575210,69875
4201 TACONY ST,884089000,61460
4301 BYBERRY RD,882693015,75000
4301 N BROAD ST,882891800,90000
4318-48 G ST,884187000,98652
432 W ALLEGHENY AVE,884605800,86415
4400 S BROAD ST,788001901,63922
4415 ARAMINGO AVE,884213645,62100
4501 ISLAND AVE,883740500,226764
4501 POPLAR ST,881437050,51993
451 UNIVERSITY AVE,783531900,101925
4521 ISLAND AVE,883741000,60000
459 W GLENWOOD AVE,884344145,160988
4600 S BROAD ST,788004001,528276
4655-61 LANCASTER AVE,774214500,304500
475 SPRING LA,881436500,57784
4801 S 12TH ST,788032100,155875
4980 RHAWN ST,884253510,373618
5000 LEAGUE ISLAND BLV,788010501,499823
5001 S BROAD ST,788010301,210000
500-16 E TIOGA ST,884526500,91196
500-36 CHESTNUT ST,781050600,57100
5190R S 16TH ST,788007201,99000
5199 MULBERRY ST,786334800,72230
5200 BLEIGH AVE,884252000,109150
5213 GRAYS AVE,884217500,62331
5330-98 WYNNEFIELD AVE,774338001,82125
5331-37 N 10TH ST,884217000,171042
5400 GRAYS AVE,884219000,102599
5458 TACONY ST,884213000,167504
5534-46 PULASKI AVE,884508130,52760
5601 CHRISTIAN ST,783096200,56751
5601-07 TULIP ST,884177700,139329
5675 N FRONT ST,882136420,360474
5700 WAYNE AVE,784473200,210654
6127 N 05TH ST,776316000,95619
6201-31 N FRONT ST,882136000,93045
6213-35 CEDAR AVE,774103000,81939
6452 GREENE ST,775183000,71875
6610 HASBROOK AVE,884121701,80658
6801 FRANKFORD AVE,882396475,52408
6901 WOODLAND AVE,773192002,64630
700-40 SPRING GARDEN ST,771688000,278180
727-35 CHESTNUT ST,883401500,98030
750-62 S BROAD ST,772077000,58050
7625 SUFFOLK AVE,884162600,103530
7700-50 E ROOSEVELT BLV,884265300,72000
7701 EDMUND ST,884254500,176167
7770 DUNGAN RD.,882064865,51370
800 N BROAD ST,772639050,67200
801 E ERIE AVE,884111000,364150
811 S CHRIS COLUMBUS BLV,884463675,100713
8318-60 BUSTLETON AVE,882093000,63746
8350 EXECUTIVE AVE,884170400,67050
858 N BROAD ST,772071500,194444
8835 GERMANTOWN AVE,775001000,356998
900 JEFFERSON ST,777502500,52200
900 PACKER AVE,883740000,159630
900-04 N BROAD ST,881427051,62400
910-32 CHESTNUT ST,883401700,250005
9125 MARSHALL ST,882131610,90890
913-29 WALLACE ST,884073505,64855
923-25 WALNUT ST,883402000,55656
949 E ERIE AVE,884111500,87450
9490 BLUE GRASS RD,884225002,306680
9910 FRANKFORD AVE,882139500,112440
